ParamName;IR_PV;Description: ;Solar irradiation  for timestep t and scenario h [W/m^2] (Source:SatelLight);;;;;;;;;
t,h;1Wavg;2SPRavg;3SUMavg;4FAavg;1Whigh;2SPRhigh;3SUMhigh;4FAhigh;1Wlow;2SPRlow;3SUMlow;4FAlow
1;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0
6;0;4;11;0;0;5;15;0;0;3;7;0
7;0;25;42;1;0;34;57;1;0;16;27;1
8;5;100;123;25;7;135;166;34;3;65;80;16
9;51;219;243;109;69;296;328;147;33;142;158;71
10;141;357;380;218;190;482;513;294;92;232;247;142
11;211;461;497;312;285;622;671;421;137;300;323;203
12;255;511;569;368;344;690;768;497;166;332;370;239
13;257;520;586;387;347;702;791;522;167;338;381;252
14;230;508;588;354;311;686;794;478;150;330;382;230
15;173;466;558;299;234;629;753;404;112;303;363;194
16;89;388;484;219;120;524;653;296;58;252;315;142
17;24;296;395;136;32;400;533;184;16;192;257;88
18;2;190;281;71;3;257;379;96;1;124;183;46
19;0;92;165;21;0;124;223;28;0;60;107;14
20;0;28;67;2;0;38;90;3;0;18;44;1
21;0;5;20;0;0;7;27;0;0;3;13;0
22;0;0;2;0;0;0;3;0;0;0;1;0
23;0;0;0;0;0;0;0;0;0;0;0;0
24;0;0;0;0;0;0;0;0;0;0;0;0
