Param;OC_GRID;Description;Grid price  for timestep t and scenario h [MW/m^2];;;;;;;;;
t,h;W;Spr;Sum;Fall;W;Spr;Sum;Fall;W;Spr;Sum;Fall
1;345;225;218;277;345;225;218;277;345;225;218;277
2;323;204;205;261;323;204;205;261;323;204;205;261
3;305;190;193;245;305;190;193;245;305;190;193;245
4;294;183;186;237;294;183;186;237;294;183;186;237
5;302;188;192;245;302;188;192;245;302;188;192;245
6;335;219;216;272;335;219;216;272;335;219;216;272
7;435;334;287;357;435;334;287;357;435;334;287;357
8;550;421;369;451;550;421;369;451;550;421;369;451
9;575;433;388;474;575;433;388;474;575;433;388;474
10;539;411;366;446;539;411;366;446;539;411;366;446
11;510;387;343;421;510;387;343;421;510;387;343;421
12;498;383;337;413;498;383;337;413;498;383;337;413
13;463;361;313;383;463;361;313;383;463;361;313;383
14;451;352;306;376;451;352;306;376;451;352;306;376
15;442;346;302;371;442;346;302;371;442;346;302;371
16;453;356;310;378;453;356;310;378;453;356;310;378
17;467;367;321;389;467;367;321;389;467;367;321;389
18;537;419;367;444;537;419;367;444;537;419;367;444
19;584;452;396;482;584;452;396;482;584;452;396;482
20;591;458;391;486;591;458;391;486;591;458;391;486
21;530;413;351;431;530;413;351;431;530;413;351;431
22;471;365;314;384;471;365;314;384;471;365;314;384
23;437;336;289;356;437;336;289;356;437;336;289;356
24;364;276;239;298;364;276;239;298;364;276;239;298
