Param;L_DEM;Description: ;Solar irradiation  for timestep t and scenario h [MW/m^2];;;;;;;;;
t,h;W;Spr;Sum;Fall;W;Spr;Sum;Fall;W;Spr;Sum;Fall
1;3,93;3,07;2,53;2,97;3,93;3,07;2,53;2,97;3,93;3,07;2,53;2,97
2;3,86;3,00;2,49;2,89;3,86;3,00;2,49;2,89;3,86;3,00;2,49;2,89
3;3,78;2,93;2,45;2,83;3,78;2,93;2,45;2,83;3,78;2,93;2,45;2,83
4;3,70;2,91;2,48;2,86;3,70;2,91;2,48;2,86;3,70;2,91;2,48;2,86
5;3,58;3,17;2,81;3,16;3,58;3,17;2,81;3,16;3,58;3,17;2,81;3,16
6;3,61;3,66;3,32;3,68;3,61;3,66;3,32;3,68;3,61;3,66;3,32;3,68
7;3,96;4,00;3,68;4,04;3,96;4,00;3,68;4,04;3,96;4,00;3,68;4,04
8;4,41;4,19;3,89;4,22;4,41;4,19;3,89;4,22;4,41;4,19;3,89;4,22
9;4,68;4,28;3,97;4,33;4,68;4,28;3,97;4,33;4,68;4,28;3,97;4,33
10;4,93;4,31;4,02;4,37;4,93;4,31;4,02;4,37;4,93;4,31;4,02;4,37
11;5,04;4,31;4,03;4,39;5,04;4,31;4,03;4,39;5,04;4,31;4,03;4,39
12;5,09;4,25;3,97;4,34;5,09;4,25;3,97;4,34;5,09;4,25;3,97;4,34
13;5,11;4,19;3,91;4,29;5,11;4,19;3,91;4,29;5,11;4,19;3,91;4,29
14;5,06;4,14;3,88;4,26;5,06;4,14;3,88;4,26;5,06;4,14;3,88;4,26
15;5,03;4,18;3,94;4,35;5,03;4,18;3,94;4,35;5,03;4,18;3,94;4,35
16;5,04;4,26;3,97;4,57;5,04;4,26;3,97;4,57;5,04;4,26;3,97;4,57
17;5,31;4,25;3,85;4,72;5,31;4,25;3,85;4,72;5,31;4,25;3,85;4,72
18;5,58;4,29;3,72;4,68;5,58;4,29;3,72;4,68;5,58;4,29;3,72;4,68
19;5,52;4,29;3,63;4,47;5,52;4,29;3,63;4,47;5,52;4,29;3,63;4,47
20;5,29;4,15;3,60;4,18;5,29;4,15;3,60;4,18;5,29;4,15;3,60;4,18
21;5,01;3,82;3,42;3,80;5,01;3,82;3,42;3,80;5,01;3,82;3,42;3,80
22;4,66;3,41;3,03;3,40;4,66;3,41;3,03;3,40;4,66;3,41;3,03;3,40
23;4,29;3,09;2,74;3,09;4,29;3,09;2,74;3,09;4,29;3,09;2,74;3,09
24;3,94;3,10;2,62;3,05;3,94;3,10;2,62;3,05;3,94;3,10;2,62;3,05
